SO THU TU: 1
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-0.0962733,0.104075,0.369296,-0.0010085,0.000581345,0,
0.00743039,0,-0.0010085,0.0107916,0,0,
-0.00113294,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 25
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
1.5708,0.785398,1.5708,3.09416,1.64979e-17,-0.0253763,
-1.5708,0.785398,1.5708,4.21713,1.28528,-0.0244766,
1.5708,0.785398,1.5708,0.582566,0.241279,0.00672092,
1.0472,0.785398,1.5708,0.0344582,-7.63614e-19,0.00175784,
1.0472,0.785398,1.5708,-0.0204659,-0.0249415,0.00233836,
1.0472,0.785398,1.5708,0.000198543,0,-2.13683e-05,
Inertia Matrix
1.56307,0.551618,-0.139706,0.0110904,0,0,
0.551618,1.34641,-0.0162016,0,0.000270449,0,
-0.139706,-0.0162016,0.369296,-0.0010085,0.000581345,0,
0.0110904,0,-0.0010085,0.0107916,0,0,
0,0.000270449,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 26
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-1.5708,0.785398,1.5708,7.16361,9.54201e-16,1.56726,
-0.785398,0.785398,1.5708,39.517,33.7193,-0.824049,
-1.5708,0.785398,1.5708,7.82947,6.14223,-0.23697,
1.0472,0.785398,1.5708,-0.00715762,-0.0152735,0.00932957,
1.0472,0.785398,1.5708,0.0250811,0.0227275,0.00111172,
1.0472,0.785398,1.5708,0.000245831,0,6.03113e-05,
Inertia Matrix
2.89806,0.573347,0.101301,-0.00863459,-0.00132512,0,
0.573347,2.88841,0.754795,-0.00194119,0.000892241,0,
0.101301,0.754795,0.369296,-0.0010085,0.000581345,0,
-0.00863459,-0.00194119,-0.0010085,0.0107916,0,0,
-0.00132512,0.000892241,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 27
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-1.5708,0.785398,1.5708,6.56566,1.0951e-15,0.725695,
-0.785398,0.785398,1.5708,41.2983,36.5048,-1.17646,
-0.785398,0.785398,1.5708,10.6738,8.9277,0.141212,
1.0472,0.785398,1.5708,0.00297037,-0.0216,0.0133045,
1.0472,0.785398,1.5708,0.00924948,0.0072,0.00297073,
1.0472,0.785398,1.5708,0.000249408,0,3.37053e-05,
Inertia Matrix
3.24148,0.475601,0.00355529,0,-0.00184963,0,
0.475601,2.67732,0.649252,-0.00166801,0,0,
0.00355529,0.649252,0.369296,-0.0010085,0.000581345,0,
0,-0.00166801,-0.0010085,0.0107916,0,0,
-0.00184963,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 28
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-1.5708,0.785398,1.5708,4.88542,1.18697e-15,-0.181025,
-0.785398,0.785398,1.5708,37.4817,34.0605,-1.12196,
0,0.785398,1.5708,7.95144,6.48345,0.443297,
1.0472,0.785398,1.5708,0.0193559,-0.0152735,0.00974129,
1.0472,0.785398,1.5708,-0.0101827,-0.0125452,0.00359683,
1.0472,0.785398,1.5708,0.000229821,0,-1.27468e-07,
Inertia Matrix
2.94034,0.375772,-0.0962733,0.00704962,-0.0015137,0,
0.375772,2.13825,0.379715,-0.0010085,0,0,
-0.0962733,0.379715,0.369296,-0.0010085,0.000581345,0,
0.00704962,-0.0010085,-0.0010085,0.0107916,0,0,
-0.0015137,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 29
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-1.5708,0.785398,1.5708,4.04775,9.34808e-16,-0.0185404,
-0.785398,0.785398,1.5708,30.1519,27.8184,-0.843658,
0.785398,0.785398,1.5708,1.10591,0.241279,0.341131,
1.0472,0.785398,1.5708,0.032812,-7.63614e-19,0.00113878,
1.0472,0.785398,1.5708,-0.0214569,-0.0249415,0.00299873,
1.0472,0.785398,1.5708,0.000198543,0,-2.13683e-05,
Inertia Matrix
2.38583,0.332339,-0.139706,0.0107096,0,0,
0.332339,1.58697,0.104075,0,0,0,
-0.139706,0.104075,0.369296,-0.0010085,0.000581345,0,
0.0107096,0,-0.0010085,0.0107916,0,0,
0,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 30
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-1.5708,0.785398,1.5708,4.39804,6.85053e-16,0.587633,
-0.785398,0.785398,1.5708,23.735,21.4349,-0.372096,
1.5708,0.785398,1.5708,-5.72028,-6.14223,0.0270547,
1.0472,0.785398,1.5708,0.034988,0.0152735,-0.00793211,
1.0472,0.785398,1.5708,-0.017322,-0.0227275,0.00217354,
1.0472,0.785398,1.5708,0.000173897,0,-1.75746e-05,
Inertia Matrix
2.1479,0.370744,-0.101301,0.00787306,0.00056358,0,
0.370744,1.34641,-0.0162016,0,0.000270449,0,
-0.101301,-0.0162016,0.369296,-0.0010085,0.000581345,0,
0.00787306,0,-0.0010085,0.0107916,0,0,
0.00056358,0.000270449,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 31
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-0.785398,0.785398,1.5708,7.16361,9.54201e-16,1.56726,
-0.785398,0.785398,1.5708,39.517,33.7193,-0.824049,
-1.5708,0.785398,1.5708,7.82947,6.14223,-0.23697,
1.0472,0.785398,1.5708,-0.00715762,-0.0152735,0.00932957,
1.0472,0.785398,1.5708,0.0250811,0.0227275,0.00111172,
1.0472,0.785398,1.5708,0.000245831,0,6.03113e-05,
Inertia Matrix
2.89806,0.573347,0.101301,-0.00863459,-0.00132512,0,
0.573347,2.88841,0.754795,-0.00194119,0.000892241,0,
0.101301,0.754795,0.369296,-0.0010085,0.000581345,0,
-0.00863459,-0.00194119,-0.0010085,0.0107916,0,0,
-0.00132512,0.000892241,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 32
